index,Q5_2A1_19,Q5_2A2_19,Q5_2A3_19,Q5_2A1_18,Q5_2A2_18,Q5_2A3_18,tot
2,140.0,153.0,72.0,99,144.0,73.0,541.0
1,138.0,119.0,87.0,162,74.0,49.0,491.0
3,117.0,104.0,102.0,96,92.0,93.0,487.0
7,61.0,67.0,67.0,14,37.0,33.0,218.0
10,51.0,30.0,19.0,5,3.0,8.0,65.0
4,49.0,55.0,59.0,47,16.0,23.0,200.0
5,26.0,22.0,39.0,36,48.0,59.0,204.0
6,20.0,8.0,13.0,16,10.0,22.0,69.0
13,10.0,0.0,1.0,8,15.0,17.0,41.0
11,8.0,9.0,13.0,2,2.0,1.0,27.0
8,8.0,5.0,5.0,16,25.0,29.0,80.0
12,5.0,9.0,14.0,4,2.0,3.0,32.0
9,1.0,0.0,1.0,14,6.0,14.0,35.0
14,0.0,0.0,0.0,11,16.0,11.0,38.0
16,0.0,0.0,0.0,7,15.0,16.0,38.0
15,0.0,0.0,0.0,6,7.0,22.0,35.0
17,0.0,0.0,0.0,5,0.0,0.0,5.0
