"","id","Q1","RQ1","Q2a1","Q2a2","MQ2A2_61","RQ2A2","Q2B","Q2A2_14","MQ2A2_1461","RQ2A2_14","Q3","Q3B1","Q3B2","Q3B3","Q4A01","Q4A02","Q4A03","Q4A04","Q4A05","Q4A06","Q4A07","Q4A08","Q4A09","Q4A10","Q4A11","Q4A12","Q4A13","Q4A14","Q4A15","Q4A16","Q4A17","Q5A01","Q5A02","Q5A03","Q5A04","Q5A05","Q5A06","Q5A07","Q5A08","Q5A09","Q5A10","Q5A11","Q5A12","Q5A13","Q5A14","Q5A15","Q5A16","Q5A17","KWON1","KWON2","KWON3","KWON4","KWON5","KWON6","KWON7","KWON8","총액1인TOT","총액1인MIS","C총액1인TOT","DAY평균T","DAY평균","RDAY평균","Q7","Q8","Q9","D_MON","D_BUN","D_NAT","D_SEX","D_AGE","D_MOK","D_ENT","D_PLA","D_Q1","D_TYP"
"1",402,10,"4회 이상",20,21,21,"11~30일","포함되지 않은 일정이다",21,21,"11~30일","사업 또는 전문활동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,1000,1000,"1000$ 이하",47.6190476190476,47.6190476190476,"50$ 이하","⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","미국","남성","61세이상","사업또는전문활동","자가격리미포함","인천공항T2","4회이상",NA
"2",403,10,"4회 이상",14,15,15,"11~30일","포함되지 않은 일정이다",15,15,"11~30일","사업 또는 전문활동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,NA,NA,"충남",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"충청도",NA,NA,NA,1300,1300,"1000$ 초과- 2000$ 이하",86.6666666666667,86.6666666666667,"50$ 초과 ~ 100$ 이하","⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","미국","남성","51-60세","사업또는전문활동","자가격리미포함","인천공항T2","4회이상",NA
"3",408,3,"3회",90,91,NA,"91일 이상","포함된 일정이다",77,NA,"61~90일","친구/친지 방문","기타",NA,NA,NA,"쇼핑","자연경관 감상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,NA,"경상도",NA,NA,4500,4500,"3000$ 초과- 5000$ 이하",49.4505494505495,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","미국","여성","41-50세","친구/친지방문","자가격리포함","인천공항T2","3회",NA
"4",411,8,"4회 이상",269,270,NA,"91일 이상","포함된 일정이다",256,NA,"91일 이상","친구/친지 방문","기타",NA,NA,NA,"쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,453.951,453.951,"1000$ 이하",1.6813,NA,NA,"④ 대체로 만족","④ 대체로 그렇다","⑤ 매우 그렇다","1월","1분기","중국","여성","41-50세","친구/친지방문","자가격리포함","인천공항T1","4회이상",NA
"5",413,2,"2회",90,91,NA,"91일 이상","포함된 일정이다",77,NA,"61~90일","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,8000,8000,"5000$ 초과- 10000$ 이하",87.9120879120879,NA,NA,"④ 대체로 만족","③ 보통","③ 보통","1월","1분기","미국","남성","51-60세","사업또는전문활동","자가격리포함","인천공항T1","2회",NA
"6",414,4,"4회 이상",90,91,NA,"91일 이상","포함되지 않은 일정이다",91,NA,"91일 이상","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행","연수/교육/연구",NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,10000,10000,"5000$ 초과- 10000$ 이하",109.89010989011,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","기타","남성","41-50세","사업또는전문활동","자가격리미포함","인천공항T2","4회이상",NA
"7",415,2,"2회",89,90,NA,"61~90일","포함된 일정이다",76,NA,"61~90일","사업 또는 전문활동",NA,NA,NA,"식도락 관광","쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,NA,NA,NA,NA,NA,"경상도",NA,NA,6204,6204,"5000$ 초과- 10000$ 이하",68.9333333333333,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","중국","남성","41-50세","사업또는전문활동","자가격리포함","인천공항T2","2회",NA
"8",416,2,"2회",79,80,NA,"61~90일","포함된 일정이다",66,NA,"61~90일","사업 또는 전문활동",NA,NA,NA,"식도락 관광","쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,"대전",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"충청도",NA,NA,NA,4653,4653,"3000$ 초과- 5000$ 이하",58.1625,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","중국","남성","41-50세","사업또는전문활동","자가격리포함","인천공항T2","2회","    개   별    여   행"
"9",420,5,"4회 이상",149,150,NA,"91일 이상","포함된 일정이다",136,NA,"91일 이상","교육",NA,NA,NA,"식도락 관광","쇼핑","자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람","K-POP/한류스타 관련 공연장 방문","드라마/영화 촬영지 방문",NA,NA,"유흥/오락","뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울","경기","인천",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울","경기도","인천",NA,NA,NA,NA,NA,2723.706,2723.706,"2000$ 초과- 3000$ 이하",18.15804,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","③ 보통","1월","1분기","중국","여성","31-40세","교육","자가격리포함","인천공항T2","4회이상","    개   별    여   행"
"10",422,6,"4회 이상",299,300,NA,"91일 이상","포함되지 않은 일정이다",300,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상",NA,"전통문화체험",NA,NA,NA,"연극, 뮤지컬, 발레 등 공연 관람 및 지역 축제 참여",NA,"유흥/오락",NA,NA,NA,"연수/교육/연구",NA,NA,"서울","경기",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울","경기도",NA,NA,NA,NA,NA,NA,7275,7275,"5000$ 초과- 10000$ 이하",24.25,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","1월","1분기","일본","여성","15-20세","교육","자가격리미포함","인천공항T2","4회이상",NA
