국적별,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,계,
아시아주,"4,441,752","4,551,345","4,683,231","5,018,219","6,005,049","6,749,222","7,662,129","8,887,132","9,848,070","11,708,565","10,799,355","14,464,300","10,556,605","12,363,734","14,337,853","1,918,037","509,869","1,859,613","3,886,692","140,250,772",
일  본,"2,440,138","2,338,921","2,235,963","2,378,102","3,053,311","3,023,009","3,289,051","3,518,792","2,747,750","2,280,434","1,837,782","2,297,893","2,311,447","2,948,527","3,271,706","430,742","15,265","296,867","1,073,591","41,789,291",
중  국,"710,243","896,969","1,068,925","1,167,891","1,342,317","1,875,157","2,220,196","2,836,892","4,326,869","6,126,865","5,984,170","8,067,722","4,169,353","4,789,512","6,023,021","686,430","170,215","227,358","771,198","53,461,303",
대  만,"351,438","338,162","335,224","320,244","380,628","406,352","428,208","548,233","544,662","643,683","518,190","833,465","925,616","1,115,333","1,260,493","166,716","4,130","72,925","505,723","9,699,425",
필리핀,"222,655","248,262","263,799","276,710","271,962","297,452","337,268","331,346","400,686","434,951","403,622","556,745","448,702","460,168","503,867","115,696","116,233","199,845","173,822","6,063,791",
홍  콩,"166,206","142,786","140,138","160,325","215,769","228,582","280,849","360,027","400,435","558,377","523,427","650,676","658,031","683,818","694,934","88,878","1,258","61,195","208,325","6,224,036",
태  국,"112,724","128,555","146,792","160,687","190,972","260,718","309,143","387,441","372,878","466,783","371,769","470,107","498,511","558,912","571,610","76,568","8,319","179,259","228,284","5,500,032",
말레이시아,"96,583","89,854","83,049","83,754","80,105","113,675","156,281","178,082","207,727","244,520","223,350","311,254","307,641","382,929","408,590","48,550","4,488","70,449","125,491","3,216,372",
싱가포르,"81,751","88,386","93,951","95,960","96,622","112,855","124,565","154,073","174,567","201,105","160,153","221,548","216,170","231,897","246,142","18,009","7,525","165,272","170,252","2,660,803",
인도네시아,"62,294","62,869","67,450","81,001","80,988","95,239","124,474","149,247","189,189","208,329","193,590","295,461","230,837","249,067","278,575","66,762","46,563","106,750","131,174","2,719,859",
인  도,"58,560","62,531","68,276","73,130","72,779","86,547","92,047","91,700","123,235","147,736","153,602","195,911","123,416","119,791","143,367","33,830","31,338","64,829","60,632","1,803,257",
베트남,"45,455","46,077","60,262","76,402","75,978","90,213","105,531","106,507","117,070","141,504","162,765","251,402","324,740","457,818","553,731","81,939","22,946","185,061","229,690","3,135,091",
미얀마,"33,745","40,758","43,271","50,636","56,044","57,916","70,168","67,917","63,470","59,797","58,936","68,458","69,906","71,094","73,722","43,406","56,728","65,957","30,102","1,082,031",
몽  골,"23,939","32,223","39,484","42,577","38,446","41,958","48,004","61,116","63,740","60,821","77,918","79,165","103,916","113,864","113,599","21,476","5,769","62,670","79,216","1,109,901",
스리랑카,"10,463","8,336","8,364","13,959","9,406","12,517","15,674","14,148","15,819","16,325","17,854","20,789","17,678","17,901","18,338","5,070","4,057","15,437","11,730","253,865",
파키스탄,"8,152","7,560","7,642","9,690","8,935","9,270","10,121","9,691","9,371","9,992","11,628","12,517","13,101","14,188","13,721","3,603","2,564","9,511","6,477","177,734",
방글라데시,"5,742","6,948","5,875","7,202","6,718","8,899","9,302","9,243","10,083","10,700","11,759","13,172","14,083","16,151","17,952","4,530","2,946","15,274","10,710","187,289",
아시아주 기타,"11,664","12,148","14,766","19,949","24,069","28,863","41,247","62,677","80,519","96,643","88,840","118,015","123,457","132,764","144,485","25,832","9,525","60,954","70,275","1,166,692",
중 동,"46,714","53,338","63,609","74,218","69,461","89,292","104,163","122,191","130,517","155,219","168,384","193,593","217,538","237,715","252,625","43,323","36,969","124,494","111,092","2,294,455",
우즈베키스탄,"9,114","12,944","17,907","23,754","16,353","23,711","31,050","42,246","44,614","49,214","56,986","67,314","75,928","82,984","88,276","15,773","13,674","36,195","28,082","736,119",
터  키,"8,976","8,969","11,625","12,574","12,409","16,320","17,298","19,290","19,698","22,382","23,166","26,541","27,272","29,558","31,293","6,560","5,323","18,051","17,183","334,488",
이스라엘,"7,660","7,411","7,607","7,587","9,784","11,993","11,216","12,244","11,922","12,298","12,706","13,322","13,507","15,328","17,102","1,445","1,039","6,266","8,421","188,858",
이  란,"6,389","6,579","6,155","8,054","7,854","8,387","9,532","6,568","5,342","6,512","5,706","8,384","9,468","6,627","4,294",565,459,"2,409","1,488","110,772",
카자흐스탄,"3,542","4,106","5,035","5,831","5,699","7,417","8,421","11,039","13,158","21,075","29,188","34,068","44,487","52,859","52,966","10,240","7,212","30,273","25,459","372,075",
요르단,"2,324","1,998","1,840","2,509","3,007","3,137","3,520","3,521","2,971","3,123","2,953","2,721","2,695","2,693","2,984",717,733,"1,517","1,180","46,143",
사우디아라비아,"1,377","1,488","2,258","2,664","3,040","3,875","6,904","7,970","10,219","10,093","9,553","11,121","11,301","11,553","14,158","1,716","1,098","8,491","9,718","128,597",
이라크,"1,346","1,750","1,928","1,674","1,975","2,210","2,090","2,695","2,788","2,875","2,367","2,111","2,447","2,811","2,823",573,713,"1,428","1,022","37,626",
중 동 기타,"5,986","8,093","9,254","9,571","9,340","12,242","14,132","16,618","19,805","27,647","25,759","28,011","30,433","33,302","38,729","5,734","6,718","19,864","18,539","339,777",
미 주,"640,050","673,118","716,336","744,615","751,697","813,860","827,383","876,149","915,622","974,021","974,153","1,116,157","1,117,107","1,242,792","1,345,658","271,487","241,825","667,772","775,161","15,684,963",
미  국,"530,633","555,704","587,324","610,083","611,327","652,889","661,503","697,866","722,315","770,305","767,613","866,186","868,881","967,992","1,044,038","220,417","204,025","543,648","618,688","12,501,437",
캐나다,"86,402","92,791","98,116","104,022","109,249","121,214","122,223","128,431","133,640","146,429","145,547","175,745","176,256","194,259","205,408","34,734","29,795","93,064","110,042","2,307,367",
브라질,"6,324","6,694","9,181","9,844","10,145","12,747","14,639","15,761","15,739","15,651","15,569","17,842","17,846","19,745","23,788","3,954","1,683","8,609","12,367","238,128",
멕시코,"5,711","5,522","6,046","6,252","5,472","7,934","8,359","10,026","10,953","13,042","14,049","15,299","20,071","25,192","30,481","5,726","3,472","8,676","11,740","214,023",
칠  레,"1,912","1,703","1,857","1,842","1,735","2,109","2,828","3,245","3,299","3,425","3,782","4,580","4,219","5,149","5,944","1,035",254,"1,944","3,825","54,687",
아르헨티나,"1,707","1,619","2,157","2,194","2,350","3,196","2,984","3,316","3,296","3,388","3,894","4,403","4,833","4,832","5,153",969,354,"1,691","2,679","55,015",
콜롬비아,"1,600","1,484","1,553","1,840","2,376","2,303","2,674","3,233","4,088","4,212","4,564","5,046","5,153","5,876","7,384",975,570,"2,654","3,548","61,133",
페  루,"1,087","1,562","1,607","1,525","1,690","2,127","2,424","2,687","4,615","3,174","3,868","6,313","4,213","4,140","4,745",760,258,"1,386","2,471","50,652",
베네수엘라,758,819,933,"1,606","1,421","1,620","1,685","1,857","2,399","1,893","2,005","1,888","1,888","1,961","1,982",500,301,661,724,"26,901",
에콰도르,437,423,510,495,546,815,868,944,"1,110","1,306","1,547","1,632","1,810","2,229","2,628",400,195,835,"1,263","19,993",
쿠  바,224,474,"1,660",227,132,85,221,80,190,138,271,251,202,187,315,32,30,86,68,"4,873",
미 주 기타,"3,255","4,323","5,392","4,685","5,254","6,821","6,975","8,703","13,978","11,058","11,444","16,972","11,735","11,230","13,792","1,985",888,"4,518","7,746","150,754",
구 주,"508,859","534,834","559,432","592,303","597,762","645,753","681,025","717,315","768,185","848,530","806,438","942,673","936,057","1,003,620","1,095,256","214,911","147,330","406,087","511,018","12,517,388",
러시아(연방),"143,850","144,611","140,426","136,342","137,054","150,730","154,835","166,721","175,360","214,366","188,106","233,973","270,427","302,542","343,057","73,086","32,897","60,019","90,643","3,159,045",
독  일,"74,962","76,403","85,330","91,555","97,691","98,119","99,467","102,262","100,803","100,624","100,182","110,302","109,860","115,789","120,730","24,128","20,038","65,107","74,375","1,667,727",
영  국,"72,581","75,397","78,656","87,014","91,165","97,510","104,644","110,172","120,874","131,080","123,274","135,139","126,024","130,977","143,676","20,419","8,974","44,806","70,280","1,772,662",
프랑스,"44,440","47,111","52,842","59,789","61,426","66,192","69,459","71,140","75,947","80,518","83,832","91,562","92,347","100,096","110,794","19,371","15,700","62,619","71,438","1,276,623",
네덜란드,"18,248","19,285","21,345","21,875","20,358","22,669","23,279","25,886","28,916","30,204","28,366","33,328","33,638","37,134","39,138","12,521","13,434","25,651","28,376","483,651",
우크라이나,"16,523","21,145","25,785","27,326","22,597","25,373","31,162","27,782","24,299","25,788","25,117","30,824","27,417","25,608","27,667","11,568","14,206","13,305","8,335","431,827",
이탈리아,"15,713","18,797","20,343","21,156","22,894","25,686","26,442","28,941","38,715","48,350","46,147","63,906","44,080","46,546","49,344","6,455","4,091","18,138","23,968","569,712",
불가리아,"10,138","10,499","7,674","6,171","6,220","7,525","8,103","7,186","7,880","8,343","6,905","10,129","7,197","6,079","6,536","1,651","1,833","3,176","2,497","125,742",
스웨덴,"10,097","11,867","12,161","12,423","11,941","13,351","14,228","15,495","17,711","17,055","16,749","17,564","17,258","19,503","19,709","2,188","1,525","7,455","11,553","249,833",
폴란드,"9,497","10,174","10,297","11,054","10,598","11,555","13,451","13,656","13,300","14,895","13,867","16,633","20,662","21,971","23,913","5,563","4,114","11,732","15,222","252,154",
덴마크,"7,989","8,409","8,481","8,764","7,813","7,978","8,435","8,952","9,595","11,096","11,803","11,436","11,408","12,044","13,453","2,059","1,396","6,138","7,601","164,850",
그리스,"7,833","7,746","6,949","7,080","7,885","7,975","8,802","8,600","8,585","8,281","9,629","10,914","9,502","9,290","9,756","3,038","3,317","5,586","4,283","145,051",
스위스,"7,657","8,557","8,874","9,614","9,492","10,198","10,414","12,100","12,725","12,735","13,386","14,512","15,189","18,103","17,847","1,884","1,496","8,069","12,044","204,896",
노르웨이,"7,274","8,119","9,952","12,323","10,968","12,821","13,371","13,958","18,318","20,591","18,919","17,607","15,872","13,615","11,770","1,507",921,"4,574","6,894","219,374",
스페인,"6,789","7,133","8,754","10,623","10,691","12,590","12,884","15,833","17,513","19,247","20,177","23,253","23,305","27,314","30,656","3,649","2,719","14,367","16,767","284,264",
루마니아,"6,652","8,098","7,843","6,618","6,601","8,699","9,780","10,650","12,259","13,812","13,225","17,536","12,697","11,372","12,781","3,200","3,295","5,872","5,993","176,983",
벨기에,"6,392","6,186","6,314","6,913","6,828","7,803","7,793","8,894","9,267","9,747","10,609","11,234","11,591","12,499","14,539","2,497","2,148","7,728","9,621","158,603",
구 주 기타,"42,224","45,297","47,406","55,663","55,540","58,979","64,476","69,087","76,118","81,798","76,145","92,821","87,583","93,138","99,890","20,127","15,226","41,745","51,128","1,174,391",
대양주,"85,200","91,516","107,829","127,569","130,446","146,089","155,654","166,304","160,047","177,934","168,064","190,547","189,557","193,431","217,991","30,454","5,574","82,083","125,452","2,551,741",
오스트레일리아,"63,463","68,328","80,528","96,138","99,153","112,409","122,494","128,812","123,560","141,208","133,266","151,979","150,408","153,133","173,218","23,172","3,503","65,502","103,219","1,993,493",
뉴질랜드,"16,419","17,502","21,083","24,435","23,953","26,973","26,608","29,546","29,105","30,805","28,426","31,623","33,088","34,205","38,954","6,598","1,660","15,722","21,104","457,809",
키리바시,"2,491","2,350","1,696","2,170","1,909","1,254","1,605","2,019","1,769",936,"1,312",927,"1,038",871,852,269,189,113,71,"23,841",
피  지,"1,528","2,205","3,029","3,678","4,127","4,486","3,856","4,224","4,326","3,377","3,246","3,317","2,973","3,116","2,832",126,67,306,365,"51,184",
대양주 기타,"1,299","1,131","1,493","1,148","1,304",967,"1,091","1,703","1,287","1,608","1,814","2,701","2,050","2,106","2,135",289,155,440,693,"25,414",
아프리카주,"18,165","21,090","23,623","26,209","28,501","33,756","36,979","41,236","43,414","44,053","44,525","57,326","49,316","53,719","60,259","14,374","12,087","29,732","30,208","668,572",
남아프리카 공화국,"4,534","4,756","6,050","6,910","7,530","9,633","9,833","10,298","10,560","11,020","10,189","13,320","11,053","11,795","13,144","3,143","1,195","5,516","6,956","157,435",
나이지리아,"3,167","3,110","3,549","3,471","3,024","3,032","3,390","3,453","3,781","3,219","3,422","3,335","3,127","2,555","3,029",675,522,"1,559","1,033","52,453",
이집트,"2,623","3,413","3,307","4,162","3,852","5,138","5,845","5,753","6,585","7,270","7,466","8,406","8,020","7,630","5,833","1,507","1,907","3,773","2,788","95,278",
아프리카주 기타,"7,841","9,811","10,717","11,666","14,095","15,953","17,911","21,732","22,488","22,544","23,448","32,265","27,116","31,739","38,253","9,049","8,463","18,884","19,431","363,406",
기 타,"282,012","229,805","294,180","307,708","234,617","319,686","327,463","329,701","309,695","293,194","270,732","277,227","269,578","251,868","193,114","26,532","13,349","28,236","23,361","4,282,058",
교포,"280,464","226,702","294,061","307,551","234,420","319,494","327,260","329,558","309,495","292,589","270,193","276,538","268,854","251,073","192,502","26,391","13,292","27,993","23,253","4,271,683",
미상,"1,548","3,103",119,157,197,192,203,143,200,605,539,689,724,795,612,141,57,243,108,"10,375",
전 체,"6,022,752","6,155,046","6,448,240","6,890,841","7,817,533","8,797,658","9,794,796","11,140,028","12,175,550","14,201,516","13,231,651","17,241,823","13,335,758","15,346,879","17,502,756","2,519,118","967,003","3,198,017","5,462,984","178,249,949",
,,,,,,,,,,,,,,,,,,,,,
